,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,BYU,2020-02-24,2021-08-03,526,Monday,962827,EUR,36168,500002,59939,0.07233571065715737,1.6572384428223845,0.11987752048991804,20-30,F,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
1,BYU,2019-03-18,2020-10-17,579,Monday,887625,USD,60471,499998,73742,0.12094248376993508,1.2194605678755106,0.14748458993835975,40-60,M,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
2,BYU,2020-08-02,2020-04-27,-97,Sunday,759304,USD,43063,500000,670664,0.086126,15.574019459861134,1.341328,40-50,M,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
3,KTR,2018-12-31,2020-09-02,611,Monday,166544,GBP,59646,500001,62815,0.11929176141647717,1.0531301344599806,0.1256297487405025,25-45,B,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
4,AKX,2020-11-01,2020-10-22,-10,Sunday,748641,GBP,25799,499998,578839,0.05159820639282557,22.43648978642583,1.157682630730523,35-55,F,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
5,AKX,2018-09-23,2019-07-18,298,Sunday,949250,EUR,20014,499997,482437,0.040028240169441016,24.104976516438494,0.9648797892787356,25-35,M,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
6,AKX,2019-09-07,2021-09-03,727,Saturday,186554,GBP,8018,499996,64089,0.016036128289026313,7.993140434023447,0.12817902543220347,30-35,M,jamesfoley,fishernichole@gmail.com,Jeffery Mccormick,M,21
7,GRZ,2018-05-08,2018-10-29,174,Tuesday,499446,USD,40457,500002,163250,0.08091367634529462,4.035148429196431,0.32649869400522397,30-45,M,anthonymarsh,lanceperez@russo.info,James Dillon DVM,M,78
8,GRZ,2018-08-08,2019-01-30,175,Wednesday,597660,GBP,57446,500000,2664,0.114892,0.04637398600424747,0.005328,25-30,F,anthonymarsh,lanceperez@russo.info,James Dillon DVM,M,78
9,BYU,2018-02-03,2020-02-22,749,Saturday,91477,GBP,19188,500000,53661,0.038376,2.7965916197623515,0.107322,30-35,M,anthonymarsh,lanceperez@russo.info,James Dillon DVM,M,78
10,KTR,2018-11-20,2019-05-14,175,Tuesday,199435,EUR,74826,500001,85726,0.1496517006965986,1.145671290727822,0.1714516570966858,25-45,B,klarson,wuelizabeth@salazar.com,Derek Smith,M,56
11,KTR,2019-12-14,2020-04-04,112,Saturday,765693,USD,36605,499998,164636,0.07321029284117136,4.497636934844967,0.32927331709326835,20-35,B,klarson,wuelizabeth@salazar.com,Derek Smith,M,56
12,GRZ,2018-04-16,2019-08-15,486,Monday,298136,EUR,31026,500002,82284,0.062051751792992826,2.6520982401856505,0.1645673417306331,20-30,M,klarson,wuelizabeth@salazar.com,Derek Smith,M,56
13,GRZ,2019-10-04,2020-08-07,308,Friday,315060,EUR,39486,499998,272838,0.07897231588926355,6.909740161069746,0.5456781827127308,25-45,F,klarson,wuelizabeth@salazar.com,Derek Smith,M,56
